t,v
'0:0:10.76,0.34
'0:0:10.77,0.36
'0:0:10.78,0.34
'0:0:10.79,0.36
'0:0:10.8,0.34
'0:0:10.81,0.36
'0:0:10.82,0.34
'0:0:10.83,0.36
'0:0:10.84,0.34
'0:0:10.85,0.36
'0:0:10.86,0.34
'0:0:10.87,0.36
'0:0:10.88,0.34
'0:0:10.89,0.35
'0:0:10.9,0.34
'0:0:10.91,0.35
'0:0:10.92,0.34
'0:0:10.93,0.36
'0:0:10.94,0.34
'0:0:10.95,0.36
'0:0:10.96,0.34
'0:0:10.97,0.35
'0:0:10.98,0.34
'0:0:10.99,0.35
'0:0:11.0,0.34
'0:0:11.01,0.36
'0:0:11.02,0.34
'0:0:11.03,0.35
'0:0:11.04,0.34
'0:0:11.05,0.35
'0:0:11.06,0.34
'0:0:11.07,0.35
'0:0:11.08,0.34
'0:0:11.09,0.35
'0:0:11.1,0.34
'0:0:11.11,0.35
'0:0:11.12,0.34
'0:0:11.13,0.35
'0:0:11.14,0.34
'0:0:11.15,0.35
'0:0:11.16,0.34
'0:0:11.17,0.35
'0:0:11.18,0.34
'0:0:11.19,0.36
'0:0:11.2,0.34
'0:0:11.21,0.35
'0:0:11.22,0.34
'0:0:11.23,0.35
'0:0:11.24,0.34
'0:0:11.25,0.35
'0:0:11.26,0.34
'0:0:11.27,0.35
'0:0:11.28,0.34
'0:0:11.29,0.35
'0:0:11.3,0.34
'0:0:11.31,0.35
'0:0:11.32,0.34
'0:0:11.33,0.35
'0:0:11.34,0.34
'0:0:11.35,0.35
'0:0:11.36,0.34
'0:0:11.37,0.35
'0:0:11.38,0.34
'0:0:11.39,0.35
'0:0:11.4,0.34
'0:0:11.41,0.35
'0:0:11.42,0.34
'0:0:11.43,0.35
'0:0:11.44,0.34
'0:0:11.45,0.35
'0:0:11.46,0.34
'0:0:11.47,0.35
'0:0:11.48,0.34
'0:0:11.49,0.35
'0:0:11.5,0.34
'0:0:11.51,0.35
'0:0:11.52,0.34
'0:0:11.53,0.35
'0:0:11.54,0.34
'0:0:11.55,0.35
'0:0:11.56,0.34
'0:0:11.57,0.35
'0:0:11.58,0.34
'0:0:11.59,0.35
'0:0:11.6,0.34
'0:0:11.61,0.35
'0:0:11.62,0.34
'0:0:11.63,0.35
'0:0:11.64,0.34
'0:0:11.65,0.35
'0:0:11.66,0.34
'0:0:11.67,0.35
'0:0:11.68,0.34
'0:0:11.69,0.35
'0:0:11.7,0.34
'0:0:11.71,0.35
'0:0:11.72,0.34
'0:0:11.73,0.35
'0:0:11.74,0.34
'0:0:11.75,0.35
'0:0:11.76,0.34
'0:0:11.77,0.35
'0:0:11.78,0.34
'0:0:11.79,0.35
'0:0:11.8,0.34
'0:0:11.81,0.35
'0:0:11.82,0.34
'0:0:11.83,0.35
'0:0:11.84,0.34
'0:0:11.85,0.35
'0:0:11.86,0.34
'0:0:11.87,0.35
'0:0:11.88,0.34
'0:0:11.89,0.35
'0:0:11.9,0.34
'0:0:11.91,0.35
'0:0:11.92,0.34
'0:0:11.93,0.35
'0:0:11.94,0.34
'0:0:11.95,0.35
'0:0:11.96,0.34
'0:0:11.97,0.35
'0:0:11.98,0.34
'0:0:11.99,0.35
'0:0:12.0,0.34
'0:0:12.01,0.35
'0:0:12.02,0.34
'0:0:12.03,0.35
'0:0:12.04,0.34
